iter	Passed	Remaining
0	5	512
1	10	510
2	14	469
3	18	442
4	21	406
5	24	386
6	27	359
7	29	335
8	30	313
9	33	298
10	35	284
11	36	269
12	38	257
13	40	247
14	41	237
15	43	228
16	44	219
17	46	210
18	47	202
19	48	195
20	50	189
21	51	183
22	54	181
23	55	176
24	56	170
25	58	165
26	59	160
27	60	155
28	61	151
29	63	147
30	64	143
31	65	140
32	67	136
33	70	137
34	72	134
35	73	130
36	74	127
37	75	123
38	77	120
39	78	117
40	79	114
41	81	111
42	82	109
43	84	108
44	86	105
45	87	103
46	89	100
47	90	97
48	91	95
49	92	92
50	94	90
51	95	88
52	98	87
53	100	85
54	102	83
55	103	81
56	105	79
57	106	77
58	108	75
59	109	73
60	110	70
61	113	69
62	115	67
63	116	65
64	117	63
65	119	61
66	120	59
67	121	57
68	123	55
69	124	53
70	126	51
71	128	50
72	130	48
73	131	46
74	132	44
75	133	42
76	135	40
77	136	38
78	137	36
79	138	34
80	139	32
81	142	31
82	143	29
83	144	27
84	145	25
85	146	23
86	147	22
87	149	20
88	150	18
89	151	16
90	152	15
91	153	13
92	154	11
93	156	9
94	157	8
95	158	6
96	159	4
97	160	3
98	162	1
99	163	0
